Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,0.3830
'0:0:0.2,0.3831
'0:0:0.4,0.3829
'0:0:0.6,0.3829
'0:0:0.8,0.3829
'0:0:1.0,0.3829
'0:0:1.2,0.3829
'0:0:1.4,0.3829
'0:0:1.6,0.3831
'0:0:1.8,0.3834
'0:0:2.0,0.3834
'0:0:2.2,0.3833
'0:0:2.4,0.3833
'0:0:2.6,0.3832
'0:0:2.8,0.3831
'0:0:3.0,0.3832
'0:0:3.2,0.3830
'0:0:3.4,0.3831
'0:0:3.6,0.3832
'0:0:3.8,0.3832
'0:0:4.0,0.3836
'0:0:4.2,0.3832
'0:0:4.4,0.3834
'0:0:4.6,0.3832
'0:0:4.8,0.3832
'0:0:5.0,0.3832
'0:0:5.2,0.3832
'0:0:5.4,0.3832
'0:0:5.6,0.3834
'0:0:5.8,0.3836
'0:0:6.0,0.3838
'0:0:6.2,0.3837
'0:0:6.4,0.3836
'0:0:6.6,0.3836
'0:0:6.8,0.3838
'0:0:7.0,0.3837
'0:0:7.2,0.3836
'0:0:7.4,0.3834
'0:0:7.6,0.3838
'0:0:7.8,0.3837
'0:0:8.0,0.3837
'0:0:8.2,0.3836
'0:0:8.4,0.3836
'0:0:8.6,0.3835
'0:0:8.8,0.3834
'0:0:9.0,0.3834
'0:0:9.2,0.3834
'0:0:9.4,0.3836
'0:0:9.6,0.3837
'0:0:9.8,0.3839
'0:0:10.0,0.3838
'0:0:10.2,0.3836
'0:0:10.4,0.3835
'0:0:10.6,0.3836
'0:0:10.8,0.3836
'0:0:11.0,0.3836
'0:0:11.2,0.3837
'0:0:11.4,0.3839
'0:0:11.6,0.3840
'0:0:11.8,0.3839
'0:0:12.0,0.3841
'0:0:12.2,0.3841
'0:0:12.4,0.3843
'0:0:12.6,0.3842
'0:0:12.8,0.3841
'0:0:13.0,0.3843
'0:0:13.2,0.3841
'0:0:13.4,0.3842
'0:0:13.6,0.3841
'0:0:13.8,0.3841
'0:0:14.0,0.3841
'0:0:14.2,0.3842
'0:0:14.4,0.3843
'0:0:14.6,0.3843
'0:0:14.8,0.3843
'0:0:15.0,0.3844
'0:0:15.2,0.3844
'0:0:15.4,0.3846
'0:0:15.6,0.3844
'0:0:15.8,0.3843
'0:0:16.0,0.3845
'0:0:16.2,0.3846
'0:0:16.4,0.3847
'0:0:16.6,0.3847
'0:0:16.8,0.3846
'0:0:17.0,0.3844
'0:0:17.2,0.3845
'0:0:17.4,0.3846
'0:0:17.6,0.3847
'0:0:17.8,0.3851
'0:0:18.0,0.3852
'0:0:18.2,0.3852
'0:0:18.4,0.3848
'0:0:18.6,0.3849
'0:0:18.8,0.3851
'0:0:19.0,0.3849
'0:0:19.2,0.3851
'0:0:19.4,0.3851
'0:0:19.6,0.3854
'0:0:19.8,0.3854
'0:0:20.0,0.3853
'0:0:20.2,0.3848
'0:0:20.4,0.3849
'0:0:20.6,0.3849
'0:0:20.8,0.3849
'0:0:21.0,0.3850
'0:0:21.2,0.3849
'0:0:21.4,0.3851
'0:0:21.6,0.3848
'0:0:21.8,0.3847
'0:0:22.0,0.3847
'0:0:22.2,0.3847
'0:0:22.4,0.3849
'0:0:22.6,0.3848
'0:0:22.8,0.3848
'0:0:23.0,0.3853
'0:0:23.2,0.3856
'0:0:23.4,0.3853
'0:0:23.6,0.3851
'0:0:23.8,0.3851
'0:0:24.0,0.3851
'0:0:24.2,0.3851
'0:0:24.4,0.3852
'0:0:24.6,0.3848
'0:0:24.8,0.3853
'0:0:25.0,0.3856
'0:0:25.2,0.3855
'0:0:25.4,0.3855
'0:0:25.6,0.3856
'0:0:25.8,0.3856
'0:0:26.0,0.3854
'0:0:26.2,0.3854
'0:0:26.4,0.3855
'0:0:26.6,0.3855
'0:0:26.8,0.3854
'0:0:27.0,0.3856
'0:0:27.2,0.3860
'0:0:27.4,0.3859
'0:0:27.6,0.3856
'0:0:27.8,0.3857
'0:0:28.0,0.3856
'0:0:28.2,0.3855
'0:0:28.4,0.3853
'0:0:28.6,0.3855
'0:0:28.8,0.3858
'0:0:29.0,0.3860
'0:0:29.2,0.3861
'0:0:29.4,0.3861
'0:0:29.6,0.3860
'0:0:29.8,0.3858
'0:0:30.0,0.3859
'0:0:30.2,0.3861
'0:0:30.4,0.3866
'0:0:30.6,0.3863
'0:0:30.8,0.3863
'0:0:31.0,0.3860
'0:0:31.2,0.3858
'0:0:31.4,0.3863
'0:0:31.6,0.3863
'0:0:31.8,0.3866
'0:0:32.0,0.3869
'0:0:32.2,0.3867
'0:0:32.4,0.3868
'0:0:32.6,0.3870
'0:0:32.8,0.3870
'0:0:33.0,0.3870
'0:0:33.2,0.3865
'0:0:33.4,0.3867
'0:0:33.6,0.3868
'0:0:33.8,0.3867
'0:0:34.0,0.3867
'0:0:34.2,0.3867
'0:0:34.4,0.3867
'0:0:34.6,0.3868
'0:0:34.8,0.3867
'0:0:35.0,0.3870
'0:0:35.2,0.3873
'0:0:35.4,0.3874
'0:0:35.6,0.3875
'0:0:35.8,0.3876
'0:0:36.0,0.3873
'0:0:36.2,0.3872
'0:0:36.4,0.3870
'0:0:36.6,0.3873
'0:0:36.8,0.3875
'0:0:37.0,0.3875
'0:0:37.2,0.3875
'0:0:37.4,0.3875
'0:0:37.6,0.3875
'0:0:37.8,0.3874
'0:0:38.0,0.3870
'0:0:38.2,0.3870
'0:0:38.4,0.3872
'0:0:38.6,0.3871
'0:0:38.8,0.3872
'0:0:39.0,0.3871
'0:0:39.2,0.3872
'0:0:39.4,0.3873
'0:0:39.6,0.3873
'0:0:39.8,0.3873
'0:0:40.0,0.3873
'0:0:40.2,0.3870
'0:0:40.4,0.3873
'0:0:40.6,0.3873
'0:0:40.8,0.3873
'0:0:41.0,0.3873
'0:0:41.2,0.3873
'0:0:41.4,0.3871
'0:0:41.6,0.3872
'0:0:41.8,0.3872
'0:0:42.0,0.3872
'0:0:42.2,0.3871
'0:0:42.4,0.3870
'0:0:42.6,0.3873
'0:0:42.8,0.3872
'0:0:43.0,0.3867
'0:0:43.2,0.3870
'0:0:43.4,0.3872
'0:0:43.6,0.3871
'0:0:43.8,0.3871
'0:0:44.0,0.3871
'0:0:44.2,0.3871
'0:0:44.4,0.3871
'0:0:44.6,0.3872
'0:0:44.8,0.3872
'0:0:45.0,0.3870
'0:0:45.2,0.3868
'0:0:45.4,0.3870
'0:0:45.6,0.3870
'0:0:45.8,0.3870
'0:0:46.0,0.3870
'0:0:46.2,0.3870
'0:0:46.4,0.3872
'0:0:46.6,0.3868
'0:0:46.8,0.3870
'0:0:47.0,0.3870
'0:0:47.2,0.3870
'0:0:47.4,0.3871
'0:0:47.6,0.3868
'0:0:47.8,0.3869
'0:0:48.0,0.3867
'0:0:48.2,0.3870
'0:0:48.4,0.3870
'0:0:48.6,0.3870
'0:0:48.8,0.3870
'0:0:49.0,0.3872
'0:0:49.2,0.3872
'0:0:49.4,0.3873
'0:0:49.6,0.3873
'0:0:49.8,0.3873
'0:0:50.0,0.3873
'0:0:50.2,0.3870
'0:0:50.4,0.3867
'0:0:50.6,0.3868
'0:0:50.8,0.3873
'0:0:51.0,0.3872
'0:0:51.2,0.3873
'0:0:51.4,0.3874
'0:0:51.6,0.3875
'0:0:51.8,0.3875
'0:0:52.0,0.3873
'0:0:52.2,0.3873
'0:0:52.4,0.3875
'0:0:52.6,0.3877
'0:0:52.8,0.3877
'0:0:53.0,0.3875
'0:0:53.2,0.3874
'0:0:53.4,0.3879
'0:0:53.6,0.3879
'0:0:53.8,0.3877
'0:0:54.0,0.3879
'0:0:54.2,0.3877
'0:0:54.4,0.3877
'0:0:54.6,0.3875
'0:0:54.8,0.3873
'0:0:55.0,0.3788
'0:0:55.2,0.3849
'0:0:55.4,0.3848
'0:0:55.6,0.3837
'0:0:55.8,0.3860
'0:0:56.0,0.3870
'0:0:56.2,0.3880
'0:0:56.4,0.3879
'0:0:56.6,0.3876
'0:0:56.8,0.3874
'0:0:57.0,0.3875
'0:0:57.2,0.3874
'0:0:57.4,0.3872
'0:0:57.6,0.3870
'0:0:57.8,0.3864
'0:0:58.0,0.3865
'0:0:58.2,0.3865
'0:0:58.4,0.3865
'0:0:58.6,0.3863
'0:0:58.8,0.3865
'0:0:59.0,0.3865
'0:0:59.2,0.3862
'0:0:59.4,0.3861
'0:0:59.6,0.3857
'0:0:59.8,0.3859
'0:1:0.0,0.3859
'0:1:0.2,0.3857
'0:1:0.4,0.3860
'0:1:0.6,0.3858
'0:1:0.8,0.3858
'0:1:1.0,0.3856
'0:1:1.2,0.3854
'0:1:1.4,0.3854
'0:1:1.6,0.3853
'0:1:1.8,0.3853
'0:1:2.0,0.3851
'0:1:2.2,0.3853
'0:1:2.4,0.3852
'0:1:2.6,0.3852
'0:1:2.8,0.3857
'0:1:3.0,0.3859
'0:1:3.2,0.3857
'0:1:3.4,0.3856
'0:1:3.6,0.3856
'0:1:3.8,0.3855
'0:1:4.0,0.3853
'0:1:4.2,0.3853
'0:1:4.4,0.3848
'0:1:4.6,0.3861
'0:1:4.8,0.3863
'0:1:5.0,0.3860
'0:1:5.2,0.3862
'0:1:5.4,0.3861
'0:1:5.6,0.3851
'0:1:5.8,0.3557
'0:1:6.0,0.3668
'0:1:6.2,0.3753
'0:1:6.4,0.3784
'0:1:6.6,0.3865
'0:1:6.8,0.3887
'0:1:7.0,0.3864
'0:1:7.2,0.3863
'0:1:7.4,0.3863
'0:1:7.6,0.3865
'0:1:7.8,0.3867
'0:1:8.0,0.3867
'0:1:8.2,0.3862
'0:1:8.4,0.3862
'0:1:8.6,0.3861
'0:1:8.8,0.3857
'0:1:9.0,0.3856
'0:1:9.2,0.3857
'0:1:9.4,0.3856
'0:1:9.6,0.3855
'0:1:9.8,0.3857
'0:1:10.0,0.3861
'0:1:10.2,0.3855
'0:1:10.4,0.3853
'0:1:10.6,0.3851
'0:1:10.8,0.3853
'0:1:11.0,0.3852
'0:1:11.2,0.3856
'0:1:11.4,0.3854
'0:1:11.6,0.3851
'0:1:11.8,0.3849
'0:1:12.0,0.3849
'0:1:12.2,0.3851
'0:1:12.4,0.3857
'0:1:12.6,0.3915
'0:1:12.8,0.3860
'0:1:13.0,0.3856
'0:1:13.2,0.3855
'0:1:13.4,0.3866
'0:1:13.6,0.3853
'0:1:13.8,0.3846
'0:1:14.0,0.3850
'0:1:14.2,0.3849
'0:1:14.4,0.3849
'0:1:14.6,0.3851
'0:1:14.8,0.3854
'0:1:15.0,0.3853
'0:1:15.2,0.3853
'0:1:15.4,0.3854
'0:1:15.6,0.3853
'0:1:15.8,0.3855
'0:1:16.0,0.3855
'0:1:16.2,0.3851
'0:1:16.4,0.3848
'0:1:16.6,0.3821
'0:1:16.8,0.3828
'0:1:17.0,0.3817
'0:1:17.2,0.3814
'0:1:17.4,0.3815
'0:1:17.6,0.3816
'0:1:17.8,0.3811
'0:1:18.0,0.3807
'0:1:18.2,0.3821
'0:1:18.4,0.3822
'0:1:18.6,0.3820
'0:1:18.8,0.3826
'0:1:19.0,0.3819
'0:1:19.2,0.3814
'0:1:19.4,0.3814
'0:1:19.6,0.3814
'0:1:19.8,0.3814
'0:1:20.0,0.3814
'0:1:20.2,0.3813
'0:1:20.4,0.3813
'0:1:20.6,0.3814
'0:1:20.8,0.3815
'0:1:21.0,0.3814
'0:1:21.2,0.3814
'0:1:21.4,0.3814
'0:1:21.6,0.3813
'0:1:21.8,0.3813
'0:1:22.0,0.3815
'0:1:22.2,0.3813
'0:1:22.4,0.3813
'0:1:22.6,0.3812
'0:1:22.8,0.3813
'0:1:23.0,0.3814
'0:1:23.2,0.3776
'0:1:23.4,0.3775
'0:1:23.6,0.3781
'0:1:23.8,0.3787
'0:1:24.0,0.3790
'0:1:24.2,0.3793
'0:1:24.4,0.3793
'0:1:24.6,0.3792
'0:1:24.8,0.3784
'0:1:25.0,0.3778
'0:1:25.2,0.3782
'0:1:25.4,0.3777
'0:1:25.6,0.3734
'0:1:25.8,0.3783
'0:1:26.0,0.3796
'0:1:26.2,0.3802
'0:1:26.4,0.3814
'0:1:26.6,0.3815
'0:1:26.8,0.3818
'0:1:27.0,0.3817
'0:1:27.2,0.3817
'0:1:27.4,0.3808
'0:1:27.6,0.3816
'0:1:27.8,0.3815
'0:1:28.0,0.3816
'0:1:28.2,0.3817
'0:1:28.4,0.3815
'0:1:28.6,0.3815
'0:1:28.8,0.3816
'0:1:29.0,0.3811
'0:1:29.2,0.3811
'0:1:29.4,0.3811
'0:1:29.6,0.3812
'0:1:29.8,0.3808
'0:1:30.0,0.3810
'0:1:30.2,0.3810
'0:1:30.4,0.3809
'0:1:30.6,0.3807
'0:1:30.8,0.3809
'0:1:31.0,0.3810
'0:1:31.2,0.3809
'0:1:31.4,0.3807
'0:1:31.6,0.3809
'0:1:31.8,0.3810
'0:1:32.0,0.3811
'0:1:32.2,0.3810
'0:1:32.4,0.3812
'0:1:32.6,0.3809
'0:1:32.8,0.3809
'0:1:33.0,0.3806
'0:1:33.2,0.3805
'0:1:33.4,0.3803
'0:1:33.6,0.3802
'0:1:33.8,0.3802
'0:1:34.0,0.3797
'0:1:34.2,0.3807
'0:1:34.4,0.3822
'0:1:34.6,0.3832
'0:1:34.8,0.3837
'0:1:35.0,0.3851
'0:1:35.2,0.3856
'0:1:35.4,0.3844
'0:1:35.6,0.3848
'0:1:35.8,0.3840
'0:1:36.0,0.3837
'0:1:36.2,0.3841
'0:1:36.4,0.3843
'0:1:36.6,0.3843
'0:1:36.8,0.3844
'0:1:37.0,0.3845
'0:1:37.2,0.3846
'0:1:37.4,0.3847
'0:1:37.6,0.3847
'0:1:37.8,0.3850
'0:1:38.0,0.3853
'0:1:38.2,0.3852
'0:1:38.4,0.3853
'0:1:38.6,0.3855
'0:1:38.8,0.3856
'0:1:39.0,0.3856
'0:1:39.2,0.3858
'0:1:39.4,0.3858
'0:1:39.6,0.3860
'0:1:39.8,0.3861
'0:1:40.0,0.3862
'0:1:40.2,0.3863
'0:1:40.4,0.3858
'0:1:40.6,0.3853
'0:1:40.8,0.3853
'0:1:41.0,0.3851
'0:1:41.2,0.3852
'0:1:41.4,0.3853
'0:1:41.6,0.3851
'0:1:41.8,0.3853
'0:1:42.0,0.3853
'0:1:42.2,0.3853
'0:1:42.4,0.3855
'0:1:42.6,0.3853
'0:1:42.8,0.3854
'0:1:43.0,0.3856
'0:1:43.2,0.3856
'0:1:43.4,0.3854
'0:1:43.6,0.3855
'0:1:43.8,0.3853
'0:1:44.0,0.3856
'0:1:44.2,0.3857
'0:1:44.4,0.3858
'0:1:44.6,0.3854
'0:1:44.8,0.3857
'0:1:45.0,0.3856
'0:1:45.2,0.3854
