Experiment name:,NeuLog experiment
'0:1:45.4,0.4904
'0:1:45.6,0.4909
'0:1:45.8,0.4908
'0:1:46.0,0.4908
'0:1:46.2,0.4907
'0:1:46.4,0.4904
'0:1:46.6,0.4903
'0:1:46.8,0.4904
'0:1:47.0,0.4904
'0:1:47.2,0.4903
'0:1:47.4,0.4902
'0:1:47.6,0.4902
'0:1:47.8,0.4902
'0:1:48.0,0.4901
'0:1:48.2,0.4899
'0:1:48.4,0.4896
'0:1:48.6,0.4898
'0:1:48.8,0.4899
'0:1:49.0,0.4898
'0:1:49.2,0.4898
'0:1:49.4,0.4896
'0:1:49.6,0.4895
'0:1:49.8,0.4894
'0:1:50.0,0.4895
'0:1:50.2,0.4892
'0:1:50.4,0.4892
'0:1:50.6,0.4893
'0:1:50.8,0.4893
'0:1:51.0,0.4892
'0:1:51.2,0.4891
'0:1:51.4,0.4890
'0:1:51.6,0.4888
'0:1:51.8,0.4890
'0:1:52.0,0.4892
'0:1:52.2,0.4891
'0:1:52.4,0.4889
'0:1:52.6,0.4890
'0:1:52.8,0.4888
'0:1:53.0,0.4890
'0:1:53.2,0.4889
'0:1:53.4,0.4888
'0:1:53.6,0.4887
'0:1:53.8,0.4886
'0:1:54.0,0.4886
'0:1:54.2,0.4885
'0:1:54.4,0.4883
'0:1:54.6,0.4885
'0:1:54.8,0.4884
'0:1:55.0,0.4884
'0:1:55.2,0.4883
'0:1:55.4,0.4882
'0:1:55.6,0.4882
'0:1:55.8,0.4881
'0:1:56.0,0.4881
'0:1:56.2,0.4883
'0:1:56.4,0.4881
'0:1:56.6,0.4880
'0:1:56.8,0.4880
'0:1:57.0,0.4882
'0:1:57.2,0.4883
'0:1:57.4,0.4879
'0:1:57.6,0.4875
'0:1:57.8,0.4877
'0:1:58.0,0.4877
'0:1:58.2,0.4878
'0:1:58.4,0.4877
'0:1:58.6,0.4879
'0:1:58.8,0.4879
'0:1:59.0,0.4879
'0:1:59.2,0.4879
'0:1:59.4,0.4880
'0:1:59.6,0.4879
'0:1:59.8,0.4879
'0:2:0.0,0.4879
'0:2:0.2,0.4880
'0:2:0.4,0.4879
'0:2:0.6,0.4878
'0:2:0.8,0.4877
'0:2:1.0,0.4878
'0:2:1.2,0.4879
'0:2:1.4,0.4878
'0:2:1.6,0.4877
'0:2:1.8,0.4878
'0:2:2.0,0.4878
'0:2:2.2,0.4877
'0:2:2.4,0.4877
'0:2:2.6,0.4878
'0:2:2.8,0.4878
'0:2:3.0,0.4877
'0:2:3.2,0.4878
'0:2:3.4,0.4879
'0:2:3.6,0.4877
'0:2:3.8,0.4877
'0:2:4.0,0.4876
'0:2:4.2,0.4875
'0:2:4.4,0.4875
'0:2:4.6,0.4877
'0:2:4.8,0.4876
'0:2:5.0,0.4875
'0:2:5.2,0.4876
'0:2:5.4,0.4879
'0:2:5.6,0.4877
'0:2:5.8,0.4879
'0:2:6.0,0.4878
'0:2:6.2,0.4879
'0:2:6.4,0.4879
'0:2:6.6,0.4877
'0:2:6.8,0.4876
'0:2:7.0,0.4876
'0:2:7.2,0.4875
'0:2:7.4,0.4876
'0:2:7.6,0.4875
'0:2:7.8,0.4876
'0:2:8.0,0.4876
'0:2:8.2,0.4877
'0:2:8.4,0.4876
'0:2:8.6,0.4875
'0:2:8.8,0.4873
'0:2:9.0,0.4868
'0:2:9.2,0.4819
'0:2:9.4,0.4786
'0:2:9.6,0.4783
'0:2:9.8,0.4802
'0:2:10.0,0.4813
'0:2:10.2,0.4821
'0:2:10.4,0.4825
'0:2:10.6,0.4827
'0:2:10.8,0.4831
'0:2:11.0,0.4835
'0:2:11.2,0.4841
'0:2:11.4,0.4845
'0:2:11.6,0.4847
'0:2:11.8,0.4851
'0:2:12.0,0.4857
'0:2:12.2,0.4862
'0:2:12.4,0.4861
'0:2:12.6,0.4870
'0:2:12.8,0.4882
'0:2:13.0,0.4883
'0:2:13.2,0.4886
'0:2:13.4,0.4887
'0:2:13.6,0.4891
'0:2:13.8,0.4894
'0:2:14.0,0.4898
'0:2:14.2,0.4899
'0:2:14.4,0.4903
'0:2:14.6,0.4905
'0:2:14.8,0.4907
'0:2:15.0,0.4908
'0:2:15.2,0.4910
'0:2:15.4,0.4911
'0:2:15.6,0.4913
'0:2:15.8,0.4915
'0:2:16.0,0.4916
'0:2:16.2,0.4916
'0:2:16.4,0.4918
'0:2:16.6,0.4919
'0:2:16.8,0.4920
'0:2:17.0,0.4919
'0:2:17.2,0.4920
'0:2:17.4,0.4920
'0:2:17.6,0.4921
'0:2:17.8,0.4921
'0:2:18.0,0.4922
'0:2:18.2,0.4922
'0:2:18.4,0.4923
'0:2:18.6,0.4923
'0:2:18.8,0.4924
'0:2:19.0,0.4926
'0:2:19.2,0.4927
'0:2:19.4,0.4927
'0:2:19.6,0.4926
'0:2:19.8,0.4925
'0:2:20.0,0.4925
'0:2:20.2,0.4924
'0:2:20.4,0.4924
'0:2:20.6,0.4923
'0:2:20.8,0.4924
'0:2:21.0,0.4925
'0:2:21.2,0.4925
'0:2:21.4,0.4924
'0:2:21.6,0.4924
'0:2:21.8,0.4925
'0:2:22.0,0.4929
'0:2:22.2,0.4928
'0:2:22.4,0.4924
'0:2:22.6,0.4928
'0:2:22.8,0.4925
'0:2:23.0,0.4926
'0:2:23.2,0.4925
'0:2:23.4,0.4924
'0:2:23.6,0.4924
'0:2:23.8,0.4924
'0:2:24.0,0.4916
'0:2:24.2,0.4917
'0:2:24.4,0.4916
'0:2:24.6,0.4919
'0:2:24.8,0.4919
'0:2:25.0,0.4917
'0:2:25.2,0.4917
'0:2:25.4,0.4917
'0:2:25.6,0.4916
'0:2:25.8,0.4914
'0:2:26.0,0.4913
'0:2:26.2,0.4913
'0:2:26.4,0.4912
'0:2:26.6,0.4911
'0:2:26.8,0.4911
'0:2:27.0,0.4911
'0:2:27.2,0.4909
'0:2:27.4,0.4909
'0:2:27.6,0.4910
'0:2:27.8,0.4910
'0:2:28.0,0.4910
'0:2:28.2,0.4908
'0:2:28.4,0.4908
'0:2:28.6,0.4909
'0:2:28.8,0.4907
'0:2:29.0,0.4907
'0:2:29.2,0.4907
'0:2:29.4,0.4907
'0:2:29.6,0.4904
'0:2:29.8,0.4904
'0:2:30.0,0.4904
'0:2:30.2,0.4903
'0:2:30.4,0.4899
'0:2:30.6,0.4895
'0:2:30.8,0.4897
'0:2:31.0,0.4899
'0:2:31.2,0.4900
'0:2:31.4,0.4900
'0:2:31.6,0.4901
'0:2:31.8,0.4900
'0:2:32.0,0.4896
'0:2:32.2,0.4894
'0:2:32.4,0.4895
'0:2:32.6,0.4896
'0:2:32.8,0.4894
'0:2:33.0,0.4894
'0:2:33.2,0.4895
'0:2:33.4,0.4895
'0:2:33.6,0.4894
'0:2:33.8,0.4894
'0:2:34.0,0.4894
'0:2:34.2,0.4894
'0:2:34.4,0.4892
'0:2:34.6,0.4892
'0:2:34.8,0.4891
'0:2:35.0,0.4892
'0:2:35.2,0.4891
'0:2:35.4,0.4890
'0:2:35.6,0.4890
'0:2:35.8,0.4890
'0:2:36.0,0.4890
'0:2:36.2,0.4890
'0:2:36.4,0.4890
'0:2:36.6,0.4890
'0:2:36.8,0.4888
'0:2:37.0,0.4887
'0:2:37.2,0.4887
'0:2:37.4,0.4886
'0:2:37.6,0.4887
'0:2:37.8,0.4886
'0:2:38.0,0.4885
'0:2:38.2,0.4885
'0:2:38.4,0.4883
'0:2:38.6,0.4882
'0:2:38.8,0.4881
'0:2:39.0,0.4880
'0:2:39.2,0.4879
'0:2:39.4,0.4879
'0:2:39.6,0.4878
'0:2:39.8,0.4879
'0:2:40.0,0.4877
'0:2:40.2,0.4877
'0:2:40.4,0.4876
'0:2:40.6,0.4876
'0:2:40.8,0.4875
'0:2:41.0,0.4874
'0:2:41.2,0.4873
'0:2:41.4,0.4873
'0:2:41.6,0.4873
'0:2:41.8,0.4872
'0:2:42.0,0.4871
'0:2:42.2,0.4870
'0:2:42.4,0.4872
'0:2:42.6,0.4871
'0:2:42.8,0.4870
'0:2:43.0,0.4870
'0:2:43.2,0.4870
'0:2:43.4,0.4870
'0:2:43.6,0.4870
'0:2:43.8,0.4870
'0:2:44.0,0.4872
'0:2:44.2,0.4873
'0:2:44.4,0.4873
'0:2:44.6,0.4873
'0:2:44.8,0.4874
'0:2:45.0,0.4875
'0:2:45.2,0.4875
'0:2:45.4,0.4878
'0:2:45.6,0.4881
'0:2:45.8,0.4884
'0:2:46.0,0.4885
'0:2:46.2,0.4879
'0:2:46.4,0.4879
'0:2:46.6,0.4880
'0:2:46.8,0.4892
'0:2:47.0,0.4883
'0:2:47.2,0.4859
'0:2:47.4,0.4875
'0:2:47.6,0.4877
'0:2:47.8,0.4878
'0:2:48.0,0.4879
'0:2:48.2,0.4871
'0:2:48.4,0.4868
'0:2:48.6,0.4870
'0:2:48.8,0.4871
'0:2:49.0,0.4873
'0:2:49.2,0.4870
'0:2:49.4,0.4872
'0:2:49.6,0.4871
'0:2:49.8,0.4872
'0:2:50.0,0.4870
'0:2:50.2,0.4871
'0:2:50.4,0.4870
'0:2:50.6,0.4870
'0:2:50.8,0.4870
'0:2:51.0,0.4868
'0:2:51.2,0.4870
'0:2:51.4,0.4868
'0:2:51.6,0.4866
'0:2:51.8,0.4866
'0:2:52.0,0.4866
'0:2:52.2,0.4866
'0:2:52.4,0.4866
'0:2:52.6,0.4870
'0:2:52.8,0.4871
'0:2:53.0,0.4871
'0:2:53.2,0.4870
'0:2:53.4,0.4870
'0:2:53.6,0.4870
'0:2:53.8,0.4870
'0:2:54.0,0.4871
'0:2:54.2,0.4873
'0:2:54.4,0.4875
'0:2:54.6,0.4877
'0:2:54.8,0.4878
'0:2:55.0,0.4879
'0:2:55.2,0.4881
'0:2:55.4,0.4881
'0:2:55.6,0.4882
'0:2:55.8,0.4883
'0:2:56.0,0.4885
'0:2:56.2,0.4886
'0:2:56.4,0.4887
'0:2:56.6,0.4893
'0:2:56.8,0.4902
'0:2:57.0,0.4911
'0:2:57.2,0.4919
'0:2:57.4,0.4924
'0:2:57.6,0.4924
'0:2:57.8,0.4925
'0:2:58.0,0.4927
'0:2:58.2,0.4928
'0:2:58.4,0.4926
'0:2:58.6,0.4926
'0:2:58.8,0.4928
'0:2:59.0,0.4928
'0:2:59.2,0.4926
'0:2:59.4,0.4925
'0:2:59.6,0.4927
'0:2:59.8,0.4927
'0:2:60.0,0.4924
'0:3:0.2,0.4918
'0:3:0.4,0.4919
'0:3:0.6,0.4919
'0:3:0.8,0.4919
'0:3:1.0,0.4919
'0:3:1.2,0.4918
'0:3:1.4,0.4919
'0:3:1.6,0.4917
'0:3:1.8,0.4917
'0:3:2.0,0.4918
'0:3:2.2,0.4917
'0:3:2.4,0.4916
'0:3:2.6,0.4916
'0:3:2.8,0.4917
'0:3:3.0,0.4916
'0:3:3.2,0.4916
'0:3:3.4,0.4915
'0:3:3.6,0.4914
'0:3:3.8,0.4911
'0:3:4.0,0.4910
'0:3:4.2,0.4910
'0:3:4.4,0.4911
'0:3:4.6,0.4911
'0:3:4.8,0.4911
'0:3:5.0,0.4911
'0:3:5.2,0.4912
'0:3:5.4,0.4911
'0:3:5.6,0.4910
'0:3:5.8,0.4909
'0:3:6.0,0.4910
'0:3:6.2,0.4910
'0:3:6.4,0.4910
'0:3:6.6,0.4909
'0:3:6.8,0.4911
'0:3:7.0,0.4910
'0:3:7.2,0.4909
'0:3:7.4,0.4909
'0:3:7.6,0.4909
'0:3:7.8,0.4907
'0:3:8.0,0.4906
'0:3:8.2,0.4904
'0:3:8.4,0.4904
'0:3:8.6,0.4902
'0:3:8.8,0.4900
'0:3:9.0,0.4898
'0:3:9.2,0.4898
'0:3:9.4,0.4896
'0:3:9.6,0.4894
'0:3:9.8,0.4893
'0:3:10.0,0.4892
'0:3:10.2,0.4893
'0:3:10.4,0.4891
'0:3:10.6,0.4890
'0:3:10.8,0.4892
'0:3:11.0,0.4892
'0:3:11.2,0.4877
'0:3:11.4,0.4870
'0:3:11.6,0.4890
'0:3:11.8,0.4873
'0:3:12.0,0.4889
'0:3:12.2,0.4902
'0:3:12.4,0.4901
'0:3:12.6,0.4903
'0:3:12.8,0.4905
'0:3:13.0,0.4906
'0:3:13.2,0.4909
'0:3:13.4,0.4911
'0:3:13.6,0.4911
'0:3:13.8,0.4908
'0:3:14.0,0.4903
'0:3:14.2,0.4905
'0:3:14.4,0.4903
'0:3:14.6,0.4910
'0:3:14.8,0.4907
'0:3:15.0,0.4906
'0:3:15.2,0.4907
'0:3:15.4,0.4908
'0:3:15.6,0.4909
'0:3:15.8,0.4909
'0:3:16.0,0.4909
'0:3:16.2,0.4909
'0:3:16.4,0.4909
'0:3:16.6,0.4911
'0:3:16.8,0.4911
'0:3:17.0,0.4911
'0:3:17.2,0.4911
'0:3:17.4,0.4907
'0:3:17.6,0.4908
'0:3:17.8,0.4905
'0:3:18.0,0.4901
'0:3:18.2,0.4900
'0:3:18.4,0.4904
'0:3:18.6,0.4903
'0:3:18.8,0.4902
'0:3:19.0,0.4902
'0:3:19.2,0.4904
'0:3:19.4,0.4903
'0:3:19.6,0.4902
'0:3:19.8,0.4901
'0:3:20.0,0.4900
'0:3:20.2,0.4900
'0:3:20.4,0.4898
'0:3:20.6,0.4900
'0:3:20.8,0.4900
'0:3:21.0,0.4898
'0:3:21.2,0.4898
'0:3:21.4,0.4899
'0:3:21.6,0.4904
'0:3:21.8,0.4900
'0:3:22.0,0.4900
'0:3:22.2,0.4898
'0:3:22.4,0.4893
'0:3:22.6,0.4894
'0:3:22.8,0.4894
'0:3:23.0,0.4895
'0:3:23.2,0.4894
'0:3:23.4,0.4895
'0:3:23.6,0.4892
'0:3:23.8,0.4890
'0:3:24.0,0.4890
'0:3:24.2,0.4890
'0:3:24.4,0.4889
'0:3:24.6,0.4887
'0:3:24.8,0.4885
'0:3:25.0,0.4885
'0:3:25.2,0.4885
'0:3:25.4,0.4885
'0:3:25.6,0.4884
